epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
90,17343.6,0.5775,0.67945,0.14778,0.98978,0,0.62049,0.5709,0.6116,0.47962,0.67366,0.47853,0.53713,0.37274,0.78283,0.85188,0.20668,1.2028,0,0.0002378,0.0002378,0.0002378
91,17539.8,0.5699,0.67723,0.14715,0.99212,0,0.69848,0.53637,0.62543,0.48414,0.65188,0.49322,0.54376,0.37566,0.78157,0.85045,0.20226,1.19253,0,0.000218,0.000218,0.000218
92,17736.1,0.5642,0.67729,0.14161,0.98361,0,0.73852,0.53021,0.62758,0.48832,0.69112,0.47965,0.5463,0.38055,0.77119,0.82732,0.20166,1.18322,0,0.0001982,0.0001982,0.0001982
93,17931.3,0.57444,0.69585,0.14564,1.00092,0,0.69814,0.53514,0.62221,0.48881,0.67349,0.49342,0.55645,0.38399,0.77793,0.82639,0.20261,1.19548,0,0.0001784,0.0001784,0.0001784
94,18124.4,0.56041,0.68753,0.14238,0.99292,0,0.69122,0.54377,0.62196,0.48298,0.68161,0.49099,0.56087,0.3859,0.7859,0.82413,0.20203,1.20243,0,0.0001586,0.0001586,0.0001586
95,18314.6,0.55345,0.68124,0.13986,0.98052,0,0.69341,0.54747,0.62685,0.48846,0.67594,0.48868,0.55325,0.3796,0.77498,0.8193,0.1993,1.20088,0,0.0001388,0.0001388,0.0001388
96,18504.9,0.53968,0.66053,0.13588,0.97665,0,0.67395,0.55307,0.62708,0.49129,0.62887,0.51608,0.55989,0.38826,0.75981,0.81437,0.19682,1.19236,0,0.000119,0.000119,0.000119
97,18700.3,0.54284,0.67564,0.13568,0.98253,0,0.66326,0.5683,0.62993,0.49611,0.66169,0.50886,0.56783,0.39459,0.76494,0.82028,0.19526,1.19646,0,9.92e-05,9.92e-05,9.92e-05
98,18890.5,0.54297,0.65854,0.13759,0.97605,0,0.68558,0.56227,0.63519,0.49608,0.65824,0.50925,0.56475,0.39039,0.75618,0.81554,0.19446,1.18868,0,7.94e-05,7.94e-05,7.94e-05
99,19077.7,0.53831,0.66318,0.13646,0.97769,0,0.67863,0.56762,0.63334,0.49504,0.66963,0.50801,0.56605,0.39423,0.75804,0.81277,0.1934,1.18561,0,5.96e-05,5.96e-05,5.96e-05
100,19272.1,0.52882,0.65373,0.13389,0.96713,0,0.67901,0.58166,0.63888,0.49953,0.67897,0.50062,0.56369,0.39295,0.75615,0.80806,0.19297,1.1906,0,3.98e-05,3.98e-05,3.98e-05
