epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
65,12489.1,0.70272,1.19319,0.75669,1.09909,0,0.72413,0.60173,0.68549,0.52863,0.69769,0.55364,0.62428,0.45522,0.73263,1.28581,0.74068,1.17162,0,0.00154047,0.00154047,0.00154047
66,12671.9,0.70318,1.2081,0.7248,1.09983,0,0.72251,0.63379,0.69897,0.53803,0.67191,0.5894,0.63626,0.46768,0.73751,1.30652,0.70674,1.18866,0,0.00152727,0.00152727,0.00152727
67,12852.8,0.67811,1.14268,0.70123,1.08534,0,0.71296,0.61776,0.68342,0.53624,0.69523,0.59433,0.6363,0.45858,0.73502,1.2876,0.71669,1.1827,0,0.00151395,0.00151395,0.00151395
68,13036.1,0.69845,1.18625,0.7075,1.10177,0,0.73968,0.58446,0.68061,0.52882,0.70379,0.5561,0.62253,0.44213,0.72004,1.29656,0.73002,1.15223,0,0.0015005,0.0015005,0.0015005
69,13215.7,0.68504,1.15372,0.69704,1.08859,0,0.72915,0.60296,0.67937,0.52622,0.68071,0.56967,0.61466,0.45104,0.73573,1.27225,0.7179,1.17859,0,0.00148694,0.00148694,0.00148694
70,13395.9,0.67414,1.13498,0.7022,1.08052,0,0.70073,0.61899,0.68386,0.53509,0.65602,0.57337,0.61805,0.45218,0.73854,1.28193,0.69698,1.18513,0,0.00147325,0.00147325,0.00147325
71,13576.2,0.66846,1.14061,0.68626,1.08186,0,0.75402,0.59803,0.69486,0.54277,0.72364,0.57337,0.64485,0.46751,0.737,1.31039,0.71561,1.16676,0,0.00145945,0.00145945,0.00145945
72,13761.6,0.67223,1.17448,0.69012,1.08335,0,0.73517,0.63379,0.70395,0.55041,0.76429,0.5672,0.64683,0.46695,0.70955,1.26597,0.69341,1.17862,0,0.00144554,0.00144554,0.00144554
73,13941.3,0.65941,1.1254,0.67983,1.07428,0,0.68483,0.63255,0.69075,0.53824,0.68359,0.59309,0.63427,0.46027,0.72509,1.25927,0.69414,1.17292,0,0.00143152,0.00143152,0.00143152
74,14124.8,0.65639,1.0839,0.65977,1.06229,0,0.71263,0.63995,0.70315,0.5504,0.66964,0.60484,0.63978,0.47296,0.71988,1.23177,0.68962,1.16073,0,0.0014174,0.0014174,0.0014174
75,14307.4,0.63479,1.06567,0.63378,1.06053,0,0.73402,0.6125,0.70145,0.55201,0.70907,0.5783,0.64555,0.47361,0.72004,1.20119,0.70172,1.15545,0,0.00140318,0.00140318,0.00140318
76,14490.7,0.63985,1.07438,0.64224,1.0609,0,0.75866,0.63255,0.71442,0.55653,0.71653,0.59803,0.64952,0.47903,0.71595,1.29297,0.65996,1.16717,0,0.00138886,0.00138886,0.00138886
77,14675.4,0.62998,1.05676,0.61927,1.05394,0,0.73123,0.65228,0.71568,0.55894,0.68281,0.60173,0.64964,0.47689,0.71815,1.26682,0.66219,1.16446,0,0.00137444,0.00137444,0.00137444
78,14862.8,0.63693,1.06971,0.64189,1.05271,0,0.71674,0.63995,0.70411,0.55209,0.68236,0.596,0.64067,0.46937,0.69121,1.22995,0.6678,1.13802,0,0.00135994,0.00135994,0.00135994
79,15042.4,0.61552,1.05467,0.6156,1.04125,0,0.73222,0.644,0.72137,0.57276,0.69858,0.61441,0.66348,0.49098,0.68557,1.19589,0.63734,1.13425,0,0.00134535,0.00134535,0.00134535
80,15225.8,0.62678,1.06865,0.62615,1.04084,0,0.7229,0.64657,0.7177,0.56289,0.71854,0.57707,0.65399,0.4846,0.69966,1.21951,0.6573,1.14402,0,0.00133068,0.00133068,0.00133068
81,15404.2,0.61545,1.03773,0.61642,1.04741,0,0.75623,0.63114,0.71697,0.56749,0.72977,0.58938,0.65634,0.49087,0.6637,1.19664,0.65931,1.13884,0,0.00131593,0.00131593,0.00131593
82,15584.2,0.61624,1.04706,0.61594,1.04912,0,0.75986,0.63986,0.72638,0.56334,0.70326,0.60049,0.6513,0.47715,0.70583,1.25677,0.6464,1.16432,0,0.0013011,0.0013011,0.0013011
83,15764.9,0.62258,1.05462,0.61656,1.04432,0,0.7424,0.66461,0.73054,0.57724,0.71398,0.61868,0.67408,0.49669,0.66533,1.23441,0.63555,1.12418,0,0.0012862,0.0012862,0.0012862
84,15950.7,0.59723,0.98943,0.60158,1.03721,0,0.73125,0.65424,0.73728,0.58189,0.71244,0.61709,0.68363,0.50217,0.66749,1.18409,0.65184,1.11717,0,0.00127123,0.00127123,0.00127123
85,16132.6,0.61249,1.00109,0.61179,1.0397,0,0.76042,0.62617,0.72779,0.57263,0.75566,0.58446,0.67051,0.49105,0.66535,1.21368,0.63367,1.12155,0,0.0012562,0.0012562,0.0012562
86,16317.4,0.5758,0.9756,0.58217,1.02239,0,0.79151,0.58981,0.70792,0.56589,0.78077,0.55734,0.65398,0.48356,0.66739,1.18197,0.66166,1.1237,0,0.00124111,0.00124111,0.00124111
87,16495.7,0.60393,1.02715,0.58962,1.02851,0,0.73673,0.65215,0.715,0.57772,0.69781,0.62925,0.6705,0.49623,0.66779,1.16296,0.65094,1.14294,0,0.00122596,0.00122596,0.00122596
88,16674.4,0.58233,0.9884,0.56176,1.02959,0,0.76842,0.64365,0.72362,0.5758,0.73334,0.60049,0.66645,0.48871,0.66619,1.18614,0.63314,1.13174,0,0.00121076,0.00121076,0.00121076
89,16857.9,0.59904,1.03231,0.58699,1.02928,0,0.76282,0.66215,0.7395,0.59048,0.7663,0.62392,0.69041,0.50532,0.65066,1.15099,0.60948,1.11602,0,0.00119551,0.00119551,0.00119551
90,17044,0.56354,0.95734,0.55689,1.00184,0,0.74517,0.62269,0.71298,0.56526,0.71722,0.58693,0.65277,0.48888,0.66819,1.20958,0.6309,1.15978,0,0.00118021,0.00118021,0.00118021
91,17224.6,0.56807,0.93745,0.56565,1.00127,0,0.791,0.62515,0.73399,0.57752,0.77028,0.59679,0.68274,0.50486,0.66633,1.19095,0.61846,1.13185,0,0.00116487,0.00116487,0.00116487
92,17405.1,0.57239,0.95827,0.55492,1.01301,0,0.72885,0.68311,0.73031,0.58588,0.71674,0.63647,0.67833,0.51172,0.62908,1.14432,0.61898,1.10932,0,0.00114949,0.00114949,0.00114949
93,17590.4,0.58247,0.97568,0.57362,1.02021,0,0.77558,0.63495,0.72754,0.57882,0.71493,0.63255,0.66957,0.49436,0.67449,1.17092,0.62059,1.15306,0,0.00113408,0.00113408,0.00113408
94,17771.3,0.5682,0.96302,0.55323,1.01178,0,0.75839,0.65968,0.73113,0.58873,0.73741,0.61776,0.67399,0.50699,0.66701,1.16367,0.61295,1.13323,0,0.00111864,0.00111864,0.00111864
95,17954.9,0.57138,0.97863,0.55412,1.00819,0,0.80091,0.65721,0.74268,0.59578,0.76226,0.62515,0.68266,0.50665,0.64566,1.19626,0.59264,1.10711,0,0.00110317,0.00110317,0.00110317
96,18133.6,0.53197,0.91321,0.52173,0.99172,0,0.76473,0.67941,0.7465,0.60548,0.74643,0.63748,0.69294,0.52015,0.62897,1.11566,0.58556,1.11738,0,0.00108767,0.00108767,0.00108767
97,18312.2,0.54373,0.94348,0.53216,0.99209,0,0.77668,0.63898,0.73473,0.59064,0.71686,0.61652,0.68531,0.51339,0.6451,1.13995,0.61061,1.11543,0,0.00107216,0.00107216,0.00107216
98,18492.3,0.55218,0.92562,0.52857,0.99961,0,0.80068,0.6241,0.73628,0.59892,0.78148,0.59063,0.68218,0.51482,0.6444,1.13947,0.59077,1.13003,0,0.00105664,0.00105664,0.00105664
99,18677.3,0.53478,0.91575,0.52463,0.99097,0,0.79301,0.63301,0.73536,0.59614,0.77501,0.59309,0.68456,0.51005,0.62822,1.09509,0.59776,1.1197,0,0.0010411,0.0010411,0.0010411
100,18858,0.52667,0.87701,0.51012,0.98439,0,0.77504,0.64488,0.73505,0.59129,0.75805,0.61529,0.68011,0.516,0.63806,1.14727,0.60398,1.13557,0,0.00102555,0.00102555,0.00102555
101,19038.2,0.56003,0.9303,0.52971,1.01273,0,0.75697,0.65351,0.7386,0.59444,0.77323,0.59803,0.6833,0.51675,0.63864,1.13249,0.60024,1.12983,0,0.00101,0.00101,0.00101
